#{"t_start": 1645885117.289735, "env_id": null}
r,l,t,ground_state,abstract_state,decisions
54.765064,26,108.24511,934,abstract_7_1,"['PROACTIVE', 'NAIVE', 'GREEDY', 'PROACTIVE', 'NAIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'PROACTIVE', 'NAIVE', 'NAIVE', 'NAIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'NAIVE', 'NAIVE']"
59.854331,27,217.486728,480,abstract_2_0,"['PROACTIVE', 'NAIVE', 'PROACTIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'NAIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'NAIVE', 'PROACTIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE']"
15.153417,26,324.281753,742,abstract_7_1,"['PROACTIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'NAIVE', 'NAIVE', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'NAIVE', 'GREEDY', 'PROACTIVE', 'NAIVE', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'NAIVE', 'NAIVE']"
1.785664,16,391.248916,581,abstract_4_0,"['GREEDY', 'NAIVE', 'NAIVE', 'GREEDY', 'NAIVE', 'NAIVE', 'PROACTIVE', 'NAIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY']"
32.491145,17,460.332274,1009,abstract_5_0,"['PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'NAIVE']"
50.418806,17,529.387941,1013,abstract_5_0,"['PROACTIVE', 'PROACTIVE', 'GREEDY', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY']"
2.055212,22,616.436154,485,abstract_2_0,"['GREEDY', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'GREEDY', 'NAIVE', 'NAIVE', 'NAIVE', 'NAIVE', 'NAIVE', 'NAIVE', 'PROACTIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY']"
25.933458,18,689.375117,724,abstract_7_0,"['GREEDY', 'GREEDY', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'NAIVE', 'PROACTIVE', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'NAIVE']"
91.752616,16,755.364923,1114,abstract_7_3,"['GREEDY', 'NAIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'NAIVE', 'NAIVE', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'NAIVE', 'PROACTIVE', 'NAIVE', 'NAIVE']"
88.837415,17,826.24815,721,abstract_7_0,"['GREEDY', 'NAIVE', 'PROACTIVE', 'NAIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'NAIVE', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE']"
57.866381,26,929.466942,154,abstract_3_3,"['PROACTIVE', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'NAIVE', 'GREEDY', 'NAIVE', 'NAIVE', 'PROACTIVE', 'NAIVE', 'NAIVE', 'NAIVE', 'NAIVE', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'NAIVE', 'NAIVE', 'NAIVE', 'NAIVE']"
53.338735,28,1041.552722,966,abstract_4_1,"['GREEDY', 'NAIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'NAIVE', 'NAIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'NAIVE', 'PROACTIVE', 'GREEDY', 'GREEDY', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'NAIVE', 'NAIVE']"
56.578089,21,1128.433218,246,abstract_1_1,"['PROACTIVE', 'GREEDY', 'NAIVE', 'NAIVE', 'NAIVE', 'GREEDY', 'GREEDY', 'GREEDY', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'PROACTIVE', 'GREEDY', 'PROACTIVE', 'GREEDY', 'NAIVE', 'PROACTIVE', 'PROACTIVE', 'NAIVE', 'PROACTIVE', 'GREEDY']"
