time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/loss
83,4.939454,20,1,0.982,20.0,0,,,
176,27.224142999999998,46,2,0.9586000000000006,23.0,0,,,
233,33.292977,63,3,0.9433000000000002,21.0,0,,,
298,46.394693000000004,83,4,0.9253000000000002,20.75,0,,,
375,47.5867056,106,5,0.9046000000000005,21.2,0,,,
441,39.9662385,122,6,0.8902000000000001,20.333333333333332,0,,,
510,45.76428214285715,139,7,0.8748999999999998,19.857142857142858,0,,,
616,44.09192875,165,8,0.8515000000000004,20.625,0,,,
696,40.95639877777778,184,9,0.8344000000000003,20.444444444444443,0,,,
798,39.1028388,209,10,0.8119000000000007,20.9,0,0.0001,8,2.9107882976531982
893,39.67590554545455,232,11,0.791199999999999,21.09090909090909,0,0.0001,31,3.1247220039367676
1002,36.18257691666667,258,12,0.7677999999999996,21.5,0,0.0001,57,2.4004669189453125
1117,37.74156430769231,286,13,0.7426000000000004,22.0,0,0.0001,85,3.146904468536377
1189,40.26445771428571,303,14,0.7273000000000001,21.642857142857142,0,0.0001,102,2.854912281036377
1306,38.70010273333333,332,15,0.7012000000000009,22.133333333333333,0,0.0001,131,2.398298978805542
1376,41.8641405625,349,16,0.6859000000000006,21.8125,0,0.0001,148,2.627558469772339
1499,39.061162352941174,378,17,0.6597999999999995,22.235294117647058,0,0.0001,177,2.089954376220703
1610,37.97782672222222,405,18,0.6355000000000002,22.5,0,0.0001,204,1.8541377782821655
1676,36.60664778947368,421,19,0.6210999999999998,22.157894736842106,0,0.0001,220,3.320833683013916
1749,35.005293699999996,438,20,0.6057999999999995,21.9,0,0.0001,237,2.5842790603637695
1809,34.966780428571425,452,21,0.5932000000000008,21.523809523809526,0,0.0001,251,2.3035459518432617
1880,37.67045413636363,469,22,0.5779000000000005,21.318181818181817,0,0.0001,268,2.5146193504333496
1956,38.02098326086956,487,23,0.5617000000000003,21.17391304347826,0,0.0001,286,2.3472204208374023
2041,38.37683795833333,507,24,0.5437000000000003,21.125,0,0.0001,306,2.9645888805389404
2111,39.22966376,524,25,0.5284,20.96,0,0.0001,323,2.31788969039917
2182,38.04968580769231,541,26,0.5130999999999997,20.807692307692307,0,0.0001,340,3.465128183364868
2253,39.723916,558,27,0.49779999999999935,20.666666666666668,0,0.0001,357,1.7098581790924072
2355,38.23527110714286,583,28,0.47529999999999983,20.821428571428573,0,0.0001,382,3.4682607650756836
2442,37.12326679310345,604,29,0.4563999999999999,20.82758620689655,0,0.0001,403,1.675655484199524
2502,37.3346231,618,30,0.4437999999999993,20.6,0,0.0001,417,5.000879764556885
2568,36.52864406451613,634,31,0.4294000000000009,20.451612903225808,0,0.0001,433,2.010413885116577
2652,38.07183096875,654,32,0.4114000000000009,20.4375,0,0.0001,453,3.564521074295044
2765,38.25573172727273,681,33,0.38709999999999956,20.636363636363637,0,0.0001,480,2.883007049560547
2886,38.48187555882353,711,34,0.36010000000000053,20.91176470588235,0,0.0001,510,3.2532799243927
3003,37.72118722857143,740,35,0.3339999999999994,21.142857142857142,0,0.0001,539,2.641188144683838
3077,36.98746927777778,758,36,0.3177999999999992,21.055555555555557,0,0.0001,557,2.4215075969696045
3144,35.12394572972973,774,37,0.3034000000000008,20.91891891891892,0,0.0001,573,1.6327641010284424
3218,34.41380907894737,792,38,0.2872000000000007,20.842105263157894,0,0.0001,591,2.2795188426971436
3283,33.3283778974359,808,39,0.27280000000000015,20.71794871794872,0,0.0001,607,3.3656089305877686
3393,33.999952725,835,40,0.24850000000000083,20.875,0,0.0001,634,2.6936862468719482
3504,33.85184104878049,863,41,0.2232999999999996,21.048780487804876,0,0.0001,662,2.8832848072052
3573,35.30206480952381,880,42,0.2079999999999993,20.952380952380953,0,0.0001,679,2.9252898693084717
3667,35.686832232558146,903,43,0.18729999999999958,21.0,0,0.0001,702,2.1004233360290527
3764,35.950680181818186,927,44,0.16569999999999996,21.068181818181817,0,0.0001,726,1.8523017168045044
3846,36.28658684444444,947,45,0.14769999999999994,21.044444444444444,0,0.0001,746,1.1994562149047852
