
Partially Abstract Start State Probabilities: [###########################################################-] 98.7%
[12:06:34|metareasoning_env             |reset     |INFO ] Built the earth observation MDP: [states=288, actions=4, time=0.000067]
[12:06:34|metareasoning_env             |reset     |INFO ] Built the abstract earth observation MDP: [states=8, actions=4, time=0.157760]
[12:06:34|metareasoning_env             |reset     |INFO ] Solved the abstract earth observation MDP: [states=8, actions=4, time=0.013918]
[12:06:34|metareasoning_env             |reset     |INFO ] Initialized the current ground state: [0]
[12:06:34|metareasoning_env             |reset     |INFO ] Initialized the current abstract state: [abstract_0_0]
[12:06:34|metareasoning_env             |reset     |INFO ] Activating the simulator...
[12:06:34|metareasoning_env             |step      |INFO ] Encountered a new abstract state: [abstract_0_0]
[12:06:34|metareasoning_env             |step      |INFO ] Starting the policy sketch refine algorithm...
[12:06:34|policy_sketch_refine          |solve     |INFO ] Starting the sketch phase...
[12:06:34|policy_sketch_refine          |solve     |INFO ] Finished the sketch phase: [time=0.008651]
[12:06:34|policy_sketch_refine          |solve     |INFO ] Starting the refine phase...
[12:06:34|policy_sketch_refine          |refine    |INFO ] Enabled point of interest abstract state expansion: [abstract_states=[(3, 1), (2, 2)]]
[12:06:35|policy_sketch_refine          |refine    |INFO ] Built the PAMDP: [states=78, actions=4, time=0.090527]
[12:06:35|policy_sketch_refine          |refine    |INFO ] Initialized state information: [constants=6, variables=2]
[12:06:35|policy_sketch_refine          |refine    |INFO ] Ran the CPLEX solver: [time=0.262790]
[12:06:35|policy_sketch_refine          |refine    |INFO ] Found a feasible solution to the PAMDP
[12:06:35|policy_sketch_refine          |solve     |INFO ] Finished the refine phase: [time=0.354066]
[12:06:35|metareasoning_env             |step      |INFO ] Finished the policy sketch refine algorithm: [time=0.362980]
[12:06:35|metareasoning_env             |step      |INFO ] Calculated the values from the solution of policy sketch refine: [time=0.000072]
[12:06:35|metareasoning_env             |step      |INFO ] Calculated the ground states for the current abstract state: [time=0.000005]
[12:06:35|metareasoning_env             |step      |INFO ] Calculated the policy from the values: [time=0.017520]
[12:06:35|metareasoning_env             |step      |INFO ] Cached the ground states for the new abstract state: [abstract_0_0]
[12:06:35|metareasoning_env             |step      |INFO ] Current Ground State: [0]
[12:06:35|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:35|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:06:35|metareasoning_env             |step      |INFO ] Current Ground State: [64]
[12:06:35|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:35|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:06:35|metareasoning_env             |step      |INFO ] Current Ground State: [128]
[12:06:35|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:35|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:06:35|metareasoning_env             |step      |INFO ] Current Ground State: [96]
[12:06:35|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:35|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:06:36|metareasoning_env             |step      |INFO ] Encountered a new abstract state: [abstract_1_0]
[12:06:36|metareasoning_env             |step      |INFO ] Starting the policy sketch refine algorithm...
[12:06:36|policy_sketch_refine          |solve     |INFO ] Starting the sketch phase...
[12:06:36|policy_sketch_refine          |solve     |INFO ] Finished the sketch phase: [time=0.009042]
[12:06:36|policy_sketch_refine          |solve     |INFO ] Starting the refine phase...
[12:06:36|policy_sketch_refine          |refine    |INFO ] Enabled point of interest abstract state expansion: [abstract_states=[(3, 1), (2, 2)]]
[12:06:37|policy_sketch_refine          |refine    |INFO ] Built the PAMDP: [states=78, actions=4, time=0.091898]
[12:06:37|policy_sketch_refine          |refine    |INFO ] Initialized state information: [constants=6, variables=2]
[12:06:37|policy_sketch_refine          |refine    |INFO ] Ran the CPLEX solver: [time=0.210125]
[12:06:37|policy_sketch_refine          |refine    |INFO ] Found a feasible solution to the PAMDP
[12:06:37|policy_sketch_refine          |solve     |INFO ] Finished the refine phase: [time=0.302659]
[12:06:37|metareasoning_env             |step      |INFO ] Finished the policy sketch refine algorithm: [time=0.311929]
[12:06:37|metareasoning_env             |step      |INFO ] Calculated the values from the solution of policy sketch refine: [time=0.000072]
[12:06:37|metareasoning_env             |step      |INFO ] Calculated the ground states for the current abstract state: [time=0.000004]
[12:06:37|metareasoning_env             |step      |INFO ] Calculated the policy from the values: [time=0.017196]
[12:06:37|metareasoning_env             |step      |INFO ] Cached the ground states for the new abstract state: [abstract_1_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [160]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_1_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [NORTH]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [128]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [100]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [165]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_1_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [181]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_1_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [NORTH]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [101]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [161]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_1_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [NORTH]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [129]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [97]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [STAY]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [113]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [STAY]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [128]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [96]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [165]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_1_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [176]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_1_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [STAY]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [144]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_1_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [STAY]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [160]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_1_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [NORTH]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [128]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [96]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [160]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_1_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [NORTH]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [128]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [97]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [STAY]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [113]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [STAY]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [128]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [96]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [161]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_1_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [NORTH]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [129]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [97]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [STAY]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [113]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [STAY]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [128]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [96]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:06:37|metareasoning_env             |step      |INFO ] Current Ground State: [160]
[12:06:37|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_1_0]
[12:06:37|metareasoning_env             |step      |INFO ] Current Action: [NORTH]
