[12:20:54|metareasoning_env             |reset     |INFO ] Built the earth observation MDP: [states=288, actions=4, time=0.000066]
[12:20:54|metareasoning_env             |reset     |INFO ] Built the abstract earth observation MDP: [states=8, actions=4, time=0.149525]
[12:20:54|metareasoning_env             |reset     |INFO ] Solved the abstract earth observation MDP: [states=8, actions=4, time=0.013006]
[12:20:54|metareasoning_env             |reset     |INFO ] Initialized the current ground state: [0]
[12:20:54|metareasoning_env             |reset     |INFO ] Initialized the current abstract state: [abstract_0_0]
[12:20:54|metareasoning_env             |reset     |INFO ] Activating the simulator...
[12:20:55|metareasoning_env             |step      |INFO ] Encountered a new abstract state: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Starting the policy sketch refine algorithm...
[12:20:55|policy_sketch_refine          |solve     |INFO ] Starting the sketch phase...
[12:20:55|policy_sketch_refine          |solve     |INFO ] Finished the sketch phase: [time=0.008869]
[12:20:55|policy_sketch_refine          |solve     |INFO ] Starting the refine phase...
[12:20:55|policy_sketch_refine          |refine    |INFO ] Enabled point of interest abstract state expansion: [abstract_states=[(3, 2), (1, 1)]]
[12:20:55|policy_sketch_refine          |refine    |INFO ] Built the PAMDP: [states=78, actions=4, time=0.084834]
[12:20:55|policy_sketch_refine          |refine    |INFO ] Initialized state information: [constants=6, variables=2]
[12:20:55|policy_sketch_refine          |refine    |INFO ] Ran the CPLEX solver: [time=0.273964]
[12:20:55|policy_sketch_refine          |refine    |INFO ] Found a feasible solution to the PAMDP
[12:20:55|policy_sketch_refine          |solve     |INFO ] Finished the refine phase: [time=0.359628]
[12:20:55|metareasoning_env             |step      |INFO ] Finished the policy sketch refine algorithm: [time=0.368769]
[12:20:55|metareasoning_env             |step      |INFO ] Calculated the values from the solution of policy sketch refine: [time=0.000073]
[12:20:55|metareasoning_env             |step      |INFO ] Calculated the ground states for the current abstract state: [time=0.000002]
[12:20:55|metareasoning_env             |step      |INFO ] Calculated the policy from the values: [time=0.017002]
[12:20:55|metareasoning_env             |step      |INFO ] Cached the ground states for the new abstract state: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Ground State: [0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:20:55|metareasoning_env             |step      |INFO ] Current Ground State: [64]
[12:20:55|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:20:55|metareasoning_env             |step      |INFO ] Current Ground State: [80]
[12:20:55|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:20:55|metareasoning_env             |step      |INFO ] Current Ground State: [96]
[12:20:55|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Action: [NORTH]
[12:20:55|metareasoning_env             |step      |INFO ] Current Ground State: [64]
[12:20:55|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:20:55|metareasoning_env             |step      |INFO ] Current Ground State: [80]
[12:20:55|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:20:55|metareasoning_env             |step      |INFO ] Current Ground State: [96]
[12:20:55|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Action: [NORTH]
[12:20:55|metareasoning_env             |step      |INFO ] Current Ground State: [64]
[12:20:55|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:20:55|metareasoning_env             |step      |INFO ] Current Ground State: [80]
[12:20:55|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:20:55|metareasoning_env             |step      |INFO ] Current Ground State: [96]
[12:20:55|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Action: [NORTH]
[12:20:55|metareasoning_env             |step      |INFO ] Current Ground State: [64]
[12:20:55|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:20:55|metareasoning_env             |step      |INFO ] Current Ground State: [80]
[12:20:55|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:20:55|metareasoning_env             |step      |INFO ] Current Ground State: [96]
[12:20:55|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Action: [NORTH]
[12:20:55|metareasoning_env             |step      |INFO ] Current Ground State: [64]
[12:20:55|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:20:55|metareasoning_env             |step      |INFO ] Current Ground State: [81]
[12:20:55|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:20:55|metareasoning_env             |step      |INFO ] Current Ground State: [97]
[12:20:55|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:55|metareasoning_env             |step      |INFO ] Current Action: [NORTH]
Partially Abstract Start State Probabilities: [###########################################################-] 98.7%
KeyboardInterrupt
[12:20:57|metareasoning_env             |step      |INFO ] Encountered a new abstract state: [abstract_0_1]
[12:20:57|metareasoning_env             |step      |INFO ] Starting the policy sketch refine algorithm...
[12:20:57|policy_sketch_refine          |solve     |INFO ] Starting the sketch phase...
[12:20:57|policy_sketch_refine          |solve     |INFO ] Finished the sketch phase: [time=0.008828]
[12:20:57|policy_sketch_refine          |solve     |INFO ] Starting the refine phase...
[12:20:57|policy_sketch_refine          |refine    |INFO ] Enabled point of interest abstract state expansion: [abstract_states=[(3, 2), (1, 1)]]
[12:20:57|policy_sketch_refine          |refine    |INFO ] Built the PAMDP: [states=78, actions=4, time=0.163505]
[12:20:57|policy_sketch_refine          |refine    |INFO ] Initialized state information: [constants=6, variables=2]
[12:20:57|policy_sketch_refine          |refine    |INFO ] Ran the CPLEX solver: [time=0.246629]
[12:20:57|policy_sketch_refine          |refine    |ERROR] Failed to find a feasible solution to the PAMDP
[12:20:57|policy_sketch_refine          |refine    |INFO ] Found a feasible solution to the PAMDP after relaxing some constraints
[12:20:57|policy_sketch_refine          |solve     |INFO ] Finished the refine phase: [time=0.661869]
[12:20:57|metareasoning_env             |step      |INFO ] Finished the policy sketch refine algorithm: [time=0.670895]
[12:20:57|metareasoning_env             |step      |INFO ] Calculated the values from the solution of policy sketch refine: [time=0.000097]
[12:20:57|metareasoning_env             |step      |INFO ] Calculated the ground states for the current abstract state: [time=0.000005]
[12:20:57|metareasoning_env             |step      |INFO ] Calculated the policy from the values: [time=0.017028]
[12:20:57|metareasoning_env             |step      |INFO ] Cached the ground states for the new abstract state: [abstract_0_1]
[12:20:57|metareasoning_env             |step      |INFO ] Current Ground State: [66]
[12:20:57|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_1]
[12:20:57|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:20:57|metareasoning_env             |step      |INFO ] Current Ground State: [81]
[12:20:57|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:57|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:20:57|metareasoning_env             |step      |INFO ] Current Ground State: [97]
[12:20:57|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:57|metareasoning_env             |step      |INFO ] Current Action: [NORTH]
[12:20:57|metareasoning_env             |step      |INFO ] Current Ground State: [66]
[12:20:57|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_1]
[12:20:57|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:20:57|metareasoning_env             |step      |INFO ] Current Ground State: [82]
[12:20:57|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_1]
[12:20:57|metareasoning_env             |step      |INFO ] Current Action: [STAY]
[12:20:57|metareasoning_env             |step      |INFO ] Current Ground State: [49]
[12:20:57|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:57|metareasoning_env             |step      |INFO ] Current Action: [STAY]
[12:20:57|metareasoning_env             |step      |INFO ] Current Ground State: [65]
[12:20:57|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:57|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:20:57|metareasoning_env             |step      |INFO ] Current Ground State: [85]
[12:20:57|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:57|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:20:57|metareasoning_env             |step      |INFO ] Current Ground State: [101]
[12:20:57|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:57|metareasoning_env             |step      |INFO ] Current Action: [NORTH]
[12:20:57|metareasoning_env             |step      |INFO ] Current Ground State: [69]
[12:20:57|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:57|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:20:57|metareasoning_env             |step      |INFO ] Current Ground State: [85]
[12:20:57|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:57|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:20:57|metareasoning_env             |step      |INFO ] Current Ground State: [101]
[12:20:57|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:57|metareasoning_env             |step      |INFO ] Current Action: [NORTH]
[12:20:57|metareasoning_env             |step      |INFO ] Current Ground State: [69]
[12:20:57|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:57|metareasoning_env             |step      |INFO ] Current Action: [IMAGE]
[12:20:57|metareasoning_env             |step      |INFO ] Current Ground State: [85]
[12:20:57|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:57|metareasoning_env             |step      |INFO ] Current Action: [SOUTH]
[12:20:57|metareasoning_env             |step      |INFO ] Current Ground State: [101]
[12:20:57|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
[12:20:57|metareasoning_env             |step      |INFO ] Current Action: [NORTH]
[12:20:57|metareasoning_env             |step      |INFO ] Current Ground State: [69]
[12:20:57|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_0]
